Country,Year,Literacy rate,Source
Azerbaijan,2012,99.78,World Bank (WDI)
Azerbaijan,2011,99.78,World Bank (WDI)
Azerbaijan,2010,99.77,World Bank (WDI)
Azerbaijan,2009,99.76,World Bank (WDI)
Azerbaijan,2007,99.60,World Bank (WDI)
Azerbaijan,1999,98.79,World Bank (WDI)
Bahamas,2003,95.60,CIA World Factbook (2016)
Bahrain,2015,95.72,World Bank (WDI)
Bahrain,2010,94.56,World Bank (WDI)
Bahrain,2001,86.55,World Bank (WDI)
Bahrain,1991,84.01,World Bank (WDI)
Bahrain,1981,69.75,World Bank (WDI)
Bangladesh,2015,61.49,World Bank (WDI)
Bangladesh,2014,60.58,World Bank (WDI)
Bangladesh,2001,47.49,World Bank (WDI)
Bangladesh,1991,35.32,World Bank (WDI)
Bangladesh,1981,29.23,World Bank (WDI)
Barbados,2002,99.70,CIA World Factbook (2016)
Barbados,1970,99.27,World Bank (WDI)
Belarus,2015,99.72,World Bank (WDI)
Belarus,2009,99.62,World Bank (WDI)
Belarus,1999,99.59,World Bank (WDI)
Belarus,1989,97.88,World Bank (WDI)
Belgium,2003,99.00,CIA World Factbook (2016)
Belgium,1750,13.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Belgium,1650,25.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Belgium,1550,17.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Belgium,1475,10.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Belize,2015,82.78,World Bank (WDI)
Belize,1991,70.30,World Bank (WDI)
Benin,2015,38.45,World Bank (WDI)
Benin,2006,28.70,World Bank (WDI)
Benin,2002,34.66,World Bank (WDI)
Benin,1992,27.25,World Bank (WDI)
Benin,1979,16.48,World Bank (WDI)
Bermuda,2005,98.00,CIA World Factbook (2016)
Bhutan,2015,63.91,World Bank (WDI)
Bhutan,2012,57.03,World Bank (WDI)
Bhutan,2005,52.81,World Bank (WDI)
Bolivia,2015,95.14,World Bank (WDI)
Bolivia,2012,94.46,World Bank (WDI)
Bolivia,2011,92.23,World Bank (WDI)
Bolivia,2009,91.17,World Bank (WDI)
Bolivia,2008,90.70,World Bank (WDI)
Bolivia,2007,90.74,World Bank (WDI)
Bolivia,2001,86.72,World Bank (WDI)
Bolivia,1992,79.99,World Bank (WDI)
Bolivia,1976,63.21,World Bank (WDI)
Bolivia,1975,63.00,"OxLAD, with additional source notes"
Bolivia,1974,62.00,"OxLAD, with additional source notes"
Bolivia,1973,61.00,"OxLAD, with additional source notes"
Bolivia,1972,60.00,"OxLAD, with additional source notes"
Bolivia,1971,59.00,"OxLAD, with additional source notes"
Bolivia,1970,58.00,"OxLAD, with additional source notes"
Bolivia,1960,44.00,"OxLAD, with additional source notes"
Bolivia,1950,32.00,"OxLAD, with additional source notes"
Bolivia,1940,28.00,"OxLAD, with additional source notes"
Bolivia,1930,25.00,"OxLAD, with additional source notes"
Bolivia,1920,22.00,"OxLAD, with additional source notes"
Bolivia,1910,20.00,"OxLAD, with additional source notes"
Bolivia,1900,18.00,"OxLAD, with additional source notes"
Bosnia and Herzegovina,2015,98.49,World Bank (WDI)
Bosnia and Herzegovina,2014,98.38,World Bank (WDI)
Bosnia and Herzegovina,2000,96.66,World Bank (WDI)
Bosnia and Herzegovina,1991,87.82,World Bank (WDI)
Botswana,2015,88.22,World Bank (WDI)
Botswana,2014,87.71,World Bank (WDI)
Botswana,2003,81.19,World Bank (WDI)
Botswana,1991,68.58,World Bank (WDI)
Brazil,2015,92.59,World Bank (WDI)
Brazil,2013,91.48,World Bank (WDI)
Brazil,2012,91.34,World Bank (WDI)
Brazil,2011,91.41,World Bank (WDI)
Brazil,2010,90.38,World Bank (WDI)
Brazil,2009,90.30,World Bank (WDI)
Brazil,2008,90.04,World Bank (WDI)
Brazil,2007,90.01,World Bank (WDI)
Brazil,2006,89.62,World Bank (WDI)
Brazil,2004,88.62,World Bank (WDI)
Brazil,2000,86.37,World Bank (WDI)
Brazil,1980,74.59,World Bank (WDI)
Brazil,1979,75.00,OxLAD
Brazil,1970,68.00,OxLAD
Brazil,1960,60.00,OxLAD
Brazil,1950,49.00,OxLAD
Brazil,1940,44.00,OxLAD
Brazil,1930,39.00,OxLAD
Brazil,1920,35.00,OxLAD
Brazil,1910,35.00,OxLAD
Brazil,1900,35.00,OxLAD
British Virgin Islands,1991,97.80,CIA World Factbook (2016)
Brunei,2015,96.66,World Bank (WDI)
Brunei,2011,96.09,World Bank (WDI)
Brunei,2001,92.67,World Bank (WDI)
Brunei,1991,87.80,World Bank (WDI)
Brunei,1981,77.83,World Bank (WDI)
Bulgaria,2015,98.39,World Bank (WDI)
Bulgaria,2011,98.35,World Bank (WDI)
Bulgaria,2001,98.20,World Bank (WDI)
Burkina Faso,2015,37.75,World Bank (WDI)
Burkina Faso,2014,34.60,World Bank (WDI)
Burkina Faso,2007,28.73,World Bank (WDI)
Burkina Faso,2006,22.47,World Bank (WDI)
Burkina Faso,2005,23.55,World Bank (WDI)
Burkina Faso,2003,21.82,World Bank (WDI)
Burkina Faso,1996,12.85,World Bank (WDI)
Burkina Faso,1991,13.57,World Bank (WDI)
Burkina Faso,1975,8.69,World Bank (WDI)
Burundi,2015,85.50,World Bank (WDI)
Burundi,2008,86.95,World Bank (WDI)
Burundi,2000,59.30,World Bank (WDI)
Burundi,1990,37.38,World Bank (WDI)
Burundi,1979,22.51,World Bank (WDI)
Cambodia,2015,78.35,World Bank (WDI)
Cambodia,2009,73.90,World Bank (WDI)
Cambodia,2008,77.59,World Bank (WDI)
Cambodia,2004,73.61,World Bank (WDI)
Cambodia,1998,67.34,World Bank (WDI)
Cameroon,2015,74.99,World Bank (WDI)
Cameroon,2010,71.29,World Bank (WDI)
Cameroon,2007,70.68,World Bank (WDI)
Cameroon,2000,68.41,World Bank (WDI)
Cameroon,1976,41.22,World Bank (WDI)
Canada,2003,99.00,CIA World Factbook (2016)
Cape Verde,2015,88.47,World Bank (WDI)
Cape Verde,2012,85.33,World Bank (WDI)
Cape Verde,2004,80.02,World Bank (WDI)
Cape Verde,1990,62.80,World Bank (WDI)
Caribbean small states,2010,91.76,World Bank (WDI)
Caribbean small states,2000,88.14,World Bank (WDI)
Cayman Islands,2007,98.87,World Bank (WDI)
Central African Republic,2015,36.75,World Bank (WDI)
Central African Republic,2010,36.75,World Bank (WDI)
Central African Republic,2000,50.65,World Bank (WDI)
Central African Republic,1988,33.62,World Bank (WDI)
Central African Republic,1975,18.24,World Bank (WDI)
Central Europe and the Baltics,2010,99.36,World Bank (WDI)
Central Europe and the Baltics,2000,98.96,World Bank (WDI)
Central Europe and the Baltics,1990,98.59,World Bank (WDI)
Chad,2015,40.02,World Bank (WDI)
Chad,2014,39.05,World Bank (WDI)
Chad,2004,28.38,World Bank (WDI)
Chad,2000,25.65,World Bank (WDI)
Chad,1993,10.89,World Bank (WDI)
Chile,2015,96.63,World Bank (WDI)
Chile,2013,96.27,World Bank (WDI)
Chile,2011,96.70,World Bank (WDI)
Chile,2009,98.55,World Bank (WDI)
Chile,2008,98.65,World Bank (WDI)
Chile,2002,95.72,World Bank (WDI)
Chile,1992,94.29,World Bank (WDI)
Chile,1982,91.13,World Bank (WDI)
Chile,1980,92.00,OxLAD
Chile,1979,91.00,OxLAD
Chile,1970,88.00,OxLAD
Chile,1960,84.00,OxLAD
Chile,1950,79.00,OxLAD
Chile,1940,73.00,OxLAD
Chile,1930,75.00,OxLAD
Chile,1920,63.00,OxLAD
Chile,1910,53.00,OxLAD
Chile,1900,43.00,OxLAD
China,2015,96.36,World Bank (WDI)
China,2010,95.12,World Bank (WDI)
China,2000,90.92,World Bank (WDI)
China,1990,77.79,World Bank (WDI)
China,1982,65.51,World Bank (WDI)
Colombia,2015,94.58,World Bank (WDI)
Colombia,2014,94.18,World Bank (WDI)
Colombia,2011,93.58,World Bank (WDI)
Colombia,2010,93.37,World Bank (WDI)
Colombia,2009,93.24,World Bank (WDI)
Colombia,2008,93.38,World Bank (WDI)
Colombia,2007,92.65,World Bank (WDI)
Colombia,2006,92.30,World Bank (WDI)
Colombia,2005,92.85,World Bank (WDI)
Colombia,2004,92.80,World Bank (WDI)
Colombia,1996,91.21,World Bank (WDI)
Colombia,1993,91.06,World Bank (WDI)
Colombia,1981,85.00,"OxLAD, with additional source notes"
Colombia,1980,84.00,"OxLAD, with additional source notes"
Colombia,1979,84.00,"OxLAD, with additional source notes"
Colombia,1978,83.00,"OxLAD, with additional source notes"
Colombia,1977,82.00,"OxLAD, with additional source notes"
Colombia,1976,82.00,"OxLAD, with additional source notes"
Colombia,1975,81.00,"OxLAD, with additional source notes"
Colombia,1974,81.00,"OxLAD, with additional source notes"
Colombia,1973,80.00,"OxLAD, with additional source notes"
Colombia,1972,79.00,"OxLAD, with additional source notes"
Colombia,1971,79.00,"OxLAD, with additional source notes"
Colombia,1970,78.00,"OxLAD, with additional source notes"
Colombia,1960,70.00,"OxLAD, with additional source notes"
Colombia,1950,62.00,"OxLAD, with additional source notes"
Colombia,1940,57.00,"OxLAD, with additional source notes"
Colombia,1930,52.00,"OxLAD, with additional source notes"
Colombia,1920,44.00,"OxLAD, with additional source notes"
Colombia,1910,39.00,"OxLAD, with additional source notes"
Colombia,1900,34.00,"OxLAD, with additional source notes"
Comoros,2015,78.14,World Bank (WDI)
Comoros,2014,77.57,World Bank (WDI)
Comoros,2000,68.49,World Bank (WDI)
Comoros,1980,47.92,World Bank (WDI)
Congo,2015,79.31,World Bank (WDI)
Congo,2011,79.31,World Bank (WDI)
Cook Islands,2011,95.00,CIA World Factbook (2016)
Costa Rica,2015,97.65,World Bank (WDI)
Costa Rica,2011,97.41,World Bank (WDI)
Costa Rica,2000,94.87,World Bank (WDI)
Costa Rica,1984,92.63,World Bank (WDI)
Costa Rica,1983,92.00,"OxLAD, with additional source notes"
Costa Rica,1982,92.00,"OxLAD, with additional source notes"
Costa Rica,1981,92.00,"OxLAD, with additional source notes"
Costa Rica,1980,92.00,"OxLAD, with additional source notes"
Costa Rica,1979,91.00,"OxLAD, with additional source notes"
Costa Rica,1978,91.00,"OxLAD, with additional source notes"
Costa Rica,1977,91.00,"OxLAD, with additional source notes"
Costa Rica,1976,90.00,"OxLAD, with additional source notes"
Costa Rica,1975,90.00,"OxLAD, with additional source notes"
Costa Rica,1974,90.00,"OxLAD, with additional source notes"
Costa Rica,1973,89.00,"OxLAD, with additional source notes"
Costa Rica,1972,89.00,"OxLAD, with additional source notes"
Costa Rica,1971,89.00,"OxLAD, with additional source notes"
Costa Rica,1970,88.00,"OxLAD, with additional source notes"
Costa Rica,1960,83.00,"OxLAD, with additional source notes"
Costa Rica,1950,79.00,"OxLAD, with additional source notes"
Costa Rica,1940,73.00,"OxLAD, with additional source notes"
Costa Rica,1930,67.00,"OxLAD, with additional source notes"
Costa Rica,1920,57.00,"OxLAD, with additional source notes"
Costa Rica,1910,46.00,"OxLAD, with additional source notes"
Costa Rica,1900,36.00,"OxLAD, with additional source notes"
Cote d'Ivoire,2015,43.27,World Bank (WDI)
Cote d'Ivoire,2012,40.98,World Bank (WDI)
Cote d'Ivoire,2000,48.74,World Bank (WDI)
Cote d'Ivoire,1998,36.35,World Bank (WDI)
Cote d'Ivoire,1988,34.14,World Bank (WDI)
Croatia,2015,99.27,World Bank (WDI)
Croatia,2011,99.13,World Bank (WDI)
Croatia,2001,98.15,World Bank (WDI)
Croatia,1991,96.70,World Bank (WDI)
Cuba,2015,99.71,World Bank (WDI)
Cuba,2012,99.75,World Bank (WDI)
Cuba,2002,99.80,World Bank (WDI)
Cuba,1981,97.85,World Bank (WDI)
Cuba,1980,93.00,"OxLAD, with additional source notes"
Cuba,1979,92.00,"OxLAD, with additional source notes"
Cuba,1978,92.00,"OxLAD, with additional source notes"
Cuba,1977,92.00,"OxLAD, with additional source notes"
Cuba,1976,91.00,"OxLAD, with additional source notes"
Cuba,1975,91.00,"OxLAD, with additional source notes"
Cuba,1974,91.00,"OxLAD, with additional source notes"
Cuba,1973,90.00,"OxLAD, with additional source notes"
Cuba,1972,90.00,"OxLAD, with additional source notes"
Cuba,1971,90.00,"OxLAD, with additional source notes"
Cuba,1970,89.00,"OxLAD, with additional source notes"
Cuba,1960,79.00,"OxLAD, with additional source notes"
Cuba,1950,78.00,"OxLAD, with additional source notes"
Cuba,1940,76.00,"OxLAD, with additional source notes"
Cuba,1930,71.00,"OxLAD, with additional source notes"
Cuba,1920,64.00,"OxLAD, with additional source notes"
Cuba,1910,57.00,"OxLAD, with additional source notes"
Cuba,1900,46.00,"OxLAD, with additional source notes"
Cyprus,2015,99.06,World Bank (WDI)
Cyprus,2011,98.68,World Bank (WDI)
Cyprus,2001,96.80,World Bank (WDI)
Cyprus,1992,94.36,World Bank (WDI)
Czech Republic,2011,99.00,CIA World Factbook (2016)
Democratic Republic of Congo,2015,77.22,World Bank (WDI)
Democratic Republic of Congo,2012,75.02,World Bank (WDI)
Democratic Republic of Congo,2007,61.21,World Bank (WDI)
Democratic Republic of Congo,2001,67.17,World Bank (WDI)
Denmark,2003,99.00,CIA World Factbook (2016)
Djibouti,2003,67.90,CIA World Factbook (2016)
Dominica,2003,94.00,CIA World Factbook (2016)
Dominican Republic,2015,92.47,World Bank (WDI)
Dominican Republic,2014,91.76,World Bank (WDI)
Dominican Republic,2013,90.86,World Bank (WDI)
Dominican Republic,2012,90.16,World Bank (WDI)
Dominican Republic,2011,90.11,World Bank (WDI)
Dominican Republic,2010,89.54,World Bank (WDI)
Dominican Republic,2007,88.24,World Bank (WDI)
Dominican Republic,2002,87.00,World Bank (WDI)
Dominican Republic,1981,73.06,World Bank (WDI)
Dominican Republic,1980,74.00,"OxLAD, with additional source notes"
Dominican Republic,1979,73.00,"OxLAD, with additional source notes"
Dominican Republic,1978,73.00,"OxLAD, with additional source notes"
Dominican Republic,1977,72.00,"OxLAD, with additional source notes"
Dominican Republic,1976,71.00,"OxLAD, with additional source notes"
Dominican Republic,1975,70.00,"OxLAD, with additional source notes"
Dominican Republic,1974,70.00,"OxLAD, with additional source notes"
Dominican Republic,1973,69.00,"OxLAD, with additional source notes"
Dominican Republic,1972,68.00,"OxLAD, with additional source notes"
Dominican Republic,1971,68.00,"OxLAD, with additional source notes"
Dominican Republic,1970,67.00,"OxLAD, with additional source notes"
Dominican Republic,1960,64.00,"OxLAD, with additional source notes"
Dominican Republic,1950,43.00,"OxLAD, with additional source notes"
Dominican Republic,1940,30.00,"OxLAD, with additional source notes"
Dominican Republic,1930,26.00,"OxLAD, with additional source notes"
Dominican Republic,1920,29.00,"OxLAD, with additional source notes"
Early-demographic dividend,2010,76.51,World Bank (WDI)
Early-demographic dividend,2000,69.12,World Bank (WDI)
Early-demographic dividend,1990,59.52,World Bank (WDI)
East Asia & Pacific,2010,95.11,World Bank (WDI)
East Asia & Pacific,2000,91.62,World Bank (WDI)
East Asia & Pacific,1990,82.05,World Bank (WDI)
East Asia & Pacific (IDA & IBRD),2010,94.69,World Bank (WDI)
East Asia & Pacific (IDA & IBRD),2000,90.65,World Bank (WDI)
East Asia & Pacific (IDA & IBRD),1990,79.46,World Bank (WDI)
East Asia & Pacific (excluding high income),2010,94.75,World Bank (WDI)
East Asia & Pacific (excluding high income),2000,90.77,World Bank (WDI)
East Asia & Pacific (excluding high income),1990,79.74,World Bank (WDI)
Ecuador,2015,94.52,World Bank (WDI)
Ecuador,2014,94.22,World Bank (WDI)
Ecuador,2013,93.29,World Bank (WDI)
Ecuador,2012,92.06,World Bank (WDI)
Ecuador,2011,91.59,World Bank (WDI)
Ecuador,2010,91.85,World Bank (WDI)
Ecuador,2009,84.21,World Bank (WDI)
Ecuador,2007,84.19,World Bank (WDI)
Ecuador,2001,90.98,World Bank (WDI)
Ecuador,1990,88.30,World Bank (WDI)
Ecuador,1982,83.55,World Bank (WDI)
Ecuador,1981,82.00,"OxLAD, with additional source notes"
Ecuador,1980,82.00,"OxLAD, with additional source notes"
Ecuador,1979,81.00,"OxLAD, with additional source notes"
Ecuador,1978,80.00,"OxLAD, with additional source notes"
Ecuador,1977,80.00,"OxLAD, with additional source notes"
Ecuador,1976,79.00,"OxLAD, with additional source notes"
Ecuador,1975,78.00,"OxLAD, with additional source notes"
Ecuador,1974,77.00,"OxLAD, with additional source notes"
Ecuador,1973,77.00,"OxLAD, with additional source notes"
Ecuador,1972,76.00,"OxLAD, with additional source notes"
Ecuador,1971,75.00,"OxLAD, with additional source notes"
Ecuador,1970,74.00,"OxLAD, with additional source notes"
Ecuador,1960,65.00,"OxLAD, with additional source notes"
Ecuador,1950,56.00,"OxLAD, with additional source notes"
Ecuador,1940,51.00,"OxLAD, with additional source notes"
Ecuador,1930,46.00,"OxLAD, with additional source notes"
Ecuador,1920,42.00,"OxLAD, with additional source notes"
Ecuador,1910,38.00,"OxLAD, with additional source notes"
Ecuador,1900,33.00,"OxLAD, with additional source notes"
Egypt,2015,75.84,World Bank (WDI)
Egypt,2013,75.06,World Bank (WDI)
Egypt,2012,73.87,World Bank (WDI)
Egypt,2010,72.05,World Bank (WDI)
Egypt,2006,66.37,World Bank (WDI)
Egypt,2005,71.41,World Bank (WDI)
Egypt,1996,55.59,World Bank (WDI)
Egypt,1986,44.42,World Bank (WDI)
Egypt,1976,38.20,World Bank (WDI)
El Salvador,2015,87.65,World Bank (WDI)
El Salvador,2013,86.77,World Bank (WDI)
El Salvador,2011,85.49,World Bank (WDI)
El Salvador,2010,84.49,World Bank (WDI)
El Salvador,2009,84.10,World Bank (WDI)
El Salvador,2008,83.95,World Bank (WDI)
El Salvador,2007,82.03,World Bank (WDI)
El Salvador,2006,83.56,World Bank (WDI)
El Salvador,2004,80.78,World Bank (WDI)
El Salvador,1992,74.14,World Bank (WDI)
El Salvador,1975,62.00,"OxLAD, with additional source notes"
El Salvador,1974,61.00,"OxLAD, with additional source notes"
El Salvador,1973,61.00,"OxLAD, with additional source notes"
El Salvador,1972,60.00,"OxLAD, with additional source notes"
El Salvador,1971,59.00,"OxLAD, with additional source notes"
El Salvador,1970,58.00,"OxLAD, with additional source notes"
El Salvador,1960,48.00,"OxLAD, with additional source notes"
El Salvador,1950,42.00,"OxLAD, with additional source notes"
El Salvador,1940,35.00,"OxLAD, with additional source notes"
El Salvador,1930,28.00,"OxLAD, with additional source notes"
El Salvador,1920,27.00,"OxLAD, with additional source notes"
El Salvador,1910,27.00,"OxLAD, with additional source notes"
El Salvador,1900,26.00,"OxLAD, with additional source notes"
Equatorial Guinea,2015,95.20,World Bank (WDI)
Equatorial Guinea,2014,94.96,World Bank (WDI)
Equatorial Guinea,2000,88.31,World Bank (WDI)
Eritrea,2015,73.85,World Bank (WDI)
Eritrea,2014,72.79,World Bank (WDI)
Eritrea,2002,52.51,World Bank (WDI)
Estonia,2015,99.82,World Bank (WDI)
Estonia,2011,99.89,World Bank (WDI)
Estonia,2000,99.77,World Bank (WDI)
Estonia,1989,99.73,World Bank (WDI)
Ethiopia,2015,49.03,World Bank (WDI)
Ethiopia,2007,39.00,World Bank (WDI)
Ethiopia,2005,29.82,World Bank (WDI)
Ethiopia,2004,35.90,World Bank (WDI)
Ethiopia,1994,27.01,World Bank (WDI)
Europe & Central Asia,2010,99.00,World Bank (WDI)
Europe & Central Asia,2000,98.15,World Bank (WDI)
Europe & Central Asia,1990,97.26,World Bank (WDI)
Europe & Central Asia (IDA & IBRD),2010,98.89,World Bank (WDI)
Europe & Central Asia (IDA & IBRD),2000,97.45,World Bank (WDI)
Europe & Central Asia (IDA & IBRD),1990,95.94,World Bank (WDI)
Europe & Central Asia (excluding high income),2010,98.80,World Bank (WDI)
Europe & Central Asia (excluding high income),2000,97.22,World Bank (WDI)
Europe & Central Asia (excluding high income),1990,95.57,World Bank (WDI)
Fiji,2003,93.70,CIA World Factbook (2016)
Finland,2000,100.00,CIA World Factbook (2016)
Fragile and conflict affected situations,2010,68.34,World Bank (WDI)
Fragile and conflict affected situations,2000,63.95,World Bank (WDI)
France,2003,99.00,CIA World Factbook (2016)
France,1870,69.00,Broadberry and O'Rourke (2010)
France,1820,38.00,Broadberry and O'Rourke (2010)
France,1750,29.00,"Buringh, E., & Van Zanden, J. L. (2009)"
France,1650,29.00,"Buringh, E., & Van Zanden, J. L. (2009)"
France,1550,19.00,"Buringh, E., & Van Zanden, J. L. (2009)"
France,1475,6.00,"Buringh, E., & Van Zanden, J. L. (2009)"
French Polynesia,1977,98.00,CIA World Factbook (2016)
Gabon,2015,83.24,World Bank (WDI)
Gabon,2012,82.28,World Bank (WDI)
Gabon,2004,81.85,World Bank (WDI)
Gabon,1993,72.23,World Bank (WDI)
Gambia,2015,55.57,World Bank (WDI)
Gambia,2014,54.39,World Bank (WDI)
Gambia,2000,36.82,World Bank (WDI)
Georgia,2015,99.76,World Bank (WDI)
Georgia,2014,99.75,World Bank (WDI)
Georgia,2002,99.65,World Bank (WDI)
Germany,2003,99.00,CIA World Factbook (2016)
Germany,1750,38.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Germany,1650,31.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Germany,1550,16.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Germany,1475,9.00,"Buringh, E., & Van Zanden, J. L. (2009)"
Ghana,2015,76.58,World Bank (WDI)
Ghana,2010,71.50,World Bank (WDI)
Ghana,2000,57.90,World Bank (WDI)
Gibraltar,2011,80.00,CIA World Factbook (2016)
Greece,2015,95.29,World Bank (WDI)
Greece,2014,97.53,World Bank (WDI)
Greece,2001,95.99,World Bank (WDI)
Greece,1991,92.61,World Bank (WDI)
Greece,1981,90.51,World Bank (WDI)
Greenland,2001,100.00,CIA World Factbook (2016)
Grenada,2003,96.00,CIA World Factbook (2016)
Grenada,1970,97.79,World Bank (WDI)
Guam,2015,99.79,World Bank (WDI)
Guam,1990,99.37,World Bank (WDI)
Guam,1980,96.42,World Bank (WDI)
Guatemala,2015,79.07,World Bank (WDI)
Guatemala,2014,81.29,World Bank (WDI)
Guatemala,2013,77.04,World Bank (WDI)
Guatemala,2012,78.26,World Bank (WDI)
Guatemala,2002,69.10,World Bank (WDI)
Guatemala,1994,64.21,World Bank (WDI)
Guatemala,1979,52.00,"OxLAD, with additional source notes"
Guatemala,1978,52.00,"OxLAD, with additional source notes"
Guatemala,1977,51.00,"OxLAD, with additional source notes"
Guatemala,1976,50.00,"OxLAD, with additional source notes"
Guatemala,1975,49.00,"OxLAD, with additional source notes"
Guatemala,1974,48.00,"OxLAD, with additional source notes"
Guatemala,1973,48.00,"OxLAD, with additional source notes"
Guatemala,1972,47.00,"OxLAD, with additional source notes"
Guatemala,1971,46.00,"OxLAD, with additional source notes"
Guatemala,1970,45.00,"OxLAD, with additional source notes"
Guatemala,1960,35.00,"OxLAD, with additional source notes"
Guatemala,1950,29.00,"OxLAD, with additional source notes"
Guatemala,1940,24.00,"OxLAD, with additional source notes"
Guatemala,1930,19.00,"OxLAD, with additional source notes"
Guatemala,1920,15.00,"OxLAD, with additional source notes"
Guatemala,1910,13.00,"OxLAD, with additional source notes"
Guatemala,1900,12.00,"OxLAD, with additional source notes"
Guinea,2015,30.47,World Bank (WDI)
Guinea,2010,25.31,World Bank (WDI)
Guinea,2003,29.70,World Bank (WDI)
Guinea,1996,20.55,World Bank (WDI)
Guinea-Bissau,2015,59.77,World Bank (WDI)
Guinea-Bissau,2014,58.73,World Bank (WDI)
Guinea-Bissau,2000,41.36,World Bank (WDI)
Guinea-Bissau,1979,19.96,World Bank (WDI)
Guyana,2015,87.54,World Bank (WDI)
Guyana,2009,84.99,World Bank (WDI)
Haiti,2015,60.69,World Bank (WDI)
Haiti,2006,48.69,World Bank (WDI)
Haiti,2003,58.74,World Bank (WDI)
Haiti,1982,34.73,World Bank (WDI)
Haiti,1981,31.00,"OxLAD, with additional source notes"
Haiti,1980,31.00,"OxLAD, with additional source notes"
Haiti,1979,30.00,"OxLAD, with additional source notes"
Haiti,1978,29.00,"OxLAD, with additional source notes"
Haiti,1977,28.00,"OxLAD, with additional source notes"
Haiti,1976,27.00,"OxLAD, with additional source notes"
Haiti,1975,26.00,"OxLAD, with additional source notes"
Haiti,1974,25.00,"OxLAD, with additional source notes"
Haiti,1973,25.00,"OxLAD, with additional source notes"
Haiti,1972,24.00,"OxLAD, with additional source notes"
Haiti,1971,23.00,"OxLAD, with additional source notes"
Haiti,1970,22.00,"OxLAD, with additional source notes"
Haiti,1960,16.00,"OxLAD, with additional source notes"
Haiti,1950,11.00,"OxLAD, with additional source notes"
Haiti,1940,9.00,"OxLAD, with additional source notes"
Haiti,1930,8.00,"OxLAD, with additional source notes"
Haiti,1920,8.00,"OxLAD, with additional source notes"
Haiti,1910,8.00,"OxLAD, with additional source notes"
Haiti,1900,8.00,"OxLAD, with additional source notes"
Heavily indebted poor countries (HIPC),2010,57.84,World Bank (WDI)
Heavily indebted poor countries (HIPC),2000,52.22,World Bank (WDI)
Heavily indebted poor countries (HIPC),1990,45.42,World Bank (WDI)
Honduras,2015,88.42,World Bank (WDI)
Honduras,2014,87.20,World Bank (WDI)
Honduras,2013,85.46,World Bank (WDI)
Honduras,2012,85.36,World Bank (WDI)
Honduras,2011,85.12,World Bank (WDI)
Honduras,2010,84.76,World Bank (WDI)
Honduras,2007,83.59,World Bank (WDI)
Honduras,2001,80.01,World Bank (WDI)
Honduras,1989,68.00,"OxLAD, with additional source notes"
Honduras,1988,67.00,"OxLAD, with additional source notes"
Honduras,1987,66.00,"OxLAD, with additional source notes"
Honduras,1986,66.00,"OxLAD, with additional source notes"
Honduras,1985,65.00,"OxLAD, with additional source notes"
Honduras,1984,64.00,"OxLAD, with additional source notes"
